id,class_room_id,dayoftheWeek,from,to
1,73,mon,09:00,10:15
2,73,wed,10:30,11:45
3,48,tue,09:00,10:15
4,48,thu,09:00,10:15
5,45,wed,09:00,10:15
6,45,fri,09:00,10:15
7,73,tue,12:00,13:15
8,73,thu,12:00,13:15
9,63,mon,15:00,16:15
10,63,wed,16:30,17:45
11,61,mon,12:00,13:15
12,61,fri,10:30,11:45
13,74,wed,15:00,16:15
14,74,fri,15:00,16:15
15,76,tue,10:30,11:45
16,76,thu,10:30,11:45
17,22,tue,15:00,16:15
18,22,thu,15:00,16:15
19,67,mon,13:30,14:45
20,67,fri,12:00,13:15
21,81,tue,13:30,14:45
22,81,thu,13:30,14:45
23,74,mon,13:30,14:45
24,74,fri,12:00,13:15
25,73,mon,10:30,11:45
26,73,wed,12:00,13:15
27,81,wed,09:00,10:15
28,81,fri,09:00,10:15
29,81,tue,16:30,17:45
30,81,thu,16:30,17:45
31,74,mon,16:30,17:45
32,74,fri,16:30,17:45
33,81,wed,13:30,14:45
34,81,fri,13:30,14:45
35,77,tue,15:00,16:15
36,77,thu,15:00,16:15
37,75,tue,10:30,11:45
38,75,thu,10:30,11:45
39,80,mon,15:00,16:15
40,80,wed,16:30,17:45
41,70,wed,15:00,16:15
42,70,fri,15:00,16:15
43,74,mon,10:30,11:45
44,74,wed,12:00,13:15
45,20,tue,16:30,17:45
46,20,thu,16:30,17:45
47,64,wed,13:30,14:45
48,64,fri,13:30,14:45
49,54,thu,18:00,20:45
50,52,tue,15:00,18:00
51,83,mon,14:00,17:00
52,79,tue,15:00,16:15
53,79,thu,15:00,16:15
54,80,mon,09:00,10:15
55,80,wed,10:30,11:45
56,70,tue,12:00,13:15
57,70,thu,12:00,13:15
58,64,tue,13:30,14:45
59,64,thu,13:30,14:45
60,48,wed,15:00,16:15
61,48,fri,15:00,16:15
62,70,tue,15:00,16:15
63,70,thu,15:00,16:15
64,81,mon,13:30,14:45
65,81,fri,12:00,13:15
66,79,mon,16:30,17:45
67,79,fri,16:30,17:45
68,62,tue,12:00,13:15
69,62,thu,12:00,13:15
70,45,mon,13:30,14:45
71,45,fri,12:00,13:15
72,80,tue,10:30,11:45
73,80,thu,10:30,11:45
74,78,tue,15:00,16:15
75,78,thu,15:00,16:15
76,70,tue,10:30,11:45
77,70,thu,10:30,11:45
78,73,mon,15:00,16:15
79,73,wed,16:30,17:45
80,56,tue,16:30,18:15
81,66,tue,09:00,10:15
82,66,thu,09:00,10:15
83,78,mon,10:30,11:45
84,78,wed,12:00,13:15
85,74,wed,13:30,14:45
86,74,fri,13:30,14:45
87,62,tue,09:00,10:15
88,62,thu,09:00,10:15
89,76,tue,13:30,14:45
90,76,thu,13:30,14:45
91,85,wed,15:00,18:00
